Index,Survey ID,Eater Type,"Motivation
Animal Protection","Motivation
Concern for the Environment","Motivation
Cost","Motivation
Health","Motivation
Religious or Spiritual Beliefs","Motivation
Social influence (from friends, family, significant other, etc.)","Motivation
Social justice or world hunger","Motivation
Taste preferences","Motivation
Wanting to follow a food trend","Motivation
Feelings of disgust about meat",Age Transitioned to Veg'nism,Gender,State,Education,Political,Race/Ethnicity,Religion
1069,9928,Omnivore,,,,,,,,,,,,Female,Montana,Bachelor’s degree,Neutral/Centrist,Other race/ethnicity (including two or more),"Christian (Catholic, Protestant, etc.)"
1070,9934,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,50,Other,Puerto Rico,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
1071,9938,Omnivore,,,,,,,,,,,,Female,Montana,"Some education after high school, no degree",Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
1072,9949,Omnivore,,,,,,,,,,,,Female,North Dakota,"Some education after high school, no degree",Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
1073,9968,Vegetarian,Mild,Not at All,Not at All,Very Strong,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,22,Female,Illinois,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
1074,9984,Omnivore,,,,,,,,,,,,Female,Iowa,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1075,9985,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,50,Female,California,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
1076,9989,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Bachelor’s degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
1077,9993,Omnivore,,,,,,,,,,,,Female,Puerto Rico,"Some education after high school, no degree",Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
1078,10005,Vegan,Strong,Somewhat,Not at All,Mild,Not at All,Somewhat,Not at All,Not at All,Not at All,Strong,38,Female,Minnesota,"Less than 12th grade, no diploma",Moderately Conservative,White,Do not actively practice a religion
1079,10007,Omnivore,,,,,,,,,,,,Female,New Mexico,Associate’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1080,10009,Vegan,Very Strong,Somewhat,Not at All,Not at All,Not at All,Somewhat,Not at All,Somewhat,Somewhat,Somewhat,18,Female,Puerto Rico,Associate’s degree,Neutral/Centrist,White,Do not actively practice a religion
1081,10012,Omnivore,,,,,,,,,,,,Female,Massachusetts,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
1082,10017,Omnivore,,,,,,,,,,,,Male,Montana,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1083,10019,Omnivore,,,,,,,,,,,,Male,California,Graduate or professional degree,Moderately Conservative,Other race/ethnicity (including two or more),"Christian (Catholic, Protestant, etc.)"
1084,10023,Vegetarian,Somewhat,Somewhat,Mild,Somewhat,Not at All,Not at All,Somewhat,Somewhat,Not at All,Somewhat,12,Female,North Dakota,Graduate or professional degree,Strongly Liberal,White,Jewish
1085,10028,Omnivore,,,,,,,,,,,,Male,Georgia,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
1086,10029,Omnivore,,,,,,,,,,,,Female,Montana,Graduate or professional degree,Neutral/Centrist,African American or Black,Do not actively practice a religion
1087,10040,Omnivore,,,,,,,,,,,,Female,Connecticut,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
1088,10045,Omnivore,,,,,,,,,,,,Female,North Carolina,Graduate or professional degree,Neutral/Centrist,White,Jewish
1089,10051,Omnivore,,,,,,,,,,,,Female,Washington,"Some education after high school, no degree",Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
1090,10057,Omnivore,,,,,,,,,,,,Female,Georgia,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
1091,10099,Vegetarian,Very Strong,Somewhat,Not at All,Not at All,Strong,Somewhat,Not at All,Somewhat,Somewhat,Somewhat,11,Female,North Carolina,Bachelor’s degree,Neutral/Centrist,Indian,Hindu
1092,10100,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1093,10102,Omnivore,,,,,,,,,,,,Female,Indiana,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1094,10110,Omnivore,,,,,,,,,,,,Male,North Carolina,Graduate or professional degree,Strongly Liberal,White,Jewish
1096,10122,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Graduate or professional degree,Strongly Conservative,"Christian (Catholic, Protestant, etc.)",Hindu
1098,10127,Omnivore,,,,,,,,,,,,Female,Texas,High school diploma (or equivalent),Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
1099,10139,Omnivore,,,,,,,,,,,,Female,California,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1100,10161,Vegetarian,Mild,Not at All,Not at All,Very Strong,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,13,Female,California,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
1101,10164,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
1102,10184,Vegan,Somewhat,Mild,Not at All,Somewhat,Not at All,Mild,Mild,Mild,Not at All,Not at All,22,Female,Washington,Graduate or professional degree,Strongly Liberal,White,Jewish
1103,10188,Omnivore,,,,,,,,,,,,Female,Maine,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
1104,10193,Omnivore,,,,,,,,,,,,Female,Tennessee,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
1105,10196,Omnivore,,,,,,,,,,,,Male,Hawaii,Bachelor’s degree,Neutral/Centrist,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
1106,10211,Omnivore,,,,,,,,,,,,Female,North Carolina,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
1107,10224,Omnivore,,,,,,,,,,,,Female,North Carolina,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
1108,10230,Omnivore,,,,,,,,,,,,Male,New Mexico,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
1109,10240,Omnivore,,,,,,,,,,,,Male,Oklahoma,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
1110,10250,Omnivore,,,,,,,,,,,,Female,Pennsylvania,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1111,10257,Omnivore,,,,,,,,,,,,Female,Nebraska,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
1112,10265,Omnivore,,,,,,,,,,,,Female,Arizona,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
1113,10270,Vegetarian,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,Not at All,Mild,Not at All,Not at All,35,Female,North Carolina,Associate’s degree,Neutral/Centrist,African American or Black,Do not actively practice a religion
1114,10284,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,30,Female,California,Bachelor’s degree,Strongly Liberal,White,Jewish
1115,10285,Omnivore,,,,,,,,,,,,Female,Utah,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
1116,10288,Omnivore,,,,,,,,,,,,Female,Kansas,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1117,10289,Omnivore,,,,,,,,,,,,Female,Puerto Rico,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1118,10300,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,43,Male,Georgia,Associate’s degree,Moderately Conservative,White,Do not actively practice a religion
1119,10303,Omnivore,,,,,,,,,,,,Male,Arizona,Associate’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
1120,10307,Omnivore,,,,,,,,,,,,Female,Michigan,High school diploma (or equivalent),Strongly Liberal,Other race/ethnicity (including two or more),"Christian (Catholic, Protestant, etc.)"
1121,10309,Omnivore,,,,,,,,,,,,Male,Indiana,"Some education after high school, no degree",Moderately Liberal,White,Do not actively practice a religion
1122,10314,Vegan,Strong,Somewhat,Not at All,Mild,Strong,Somewhat,Not at All,Not at All,Not at All,Strong,63,Male,Oregon,Associate’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
1123,10326,Omnivore,,,,,,,,,,,,Male,North Dakota,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
1125,10335,Omnivore,,,,,,,,,,,,Female,Alabama,High school diploma (or equivalent),Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
1126,10352,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1127,10369,Omnivore,,,,,,,,,,,,Female,Texas,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
1128,10370,Omnivore,,,,,,,,,,,,Male,West Virginia,Bachelor’s degree,Neutral/Centrist,Indian,Hindu
1129,10400,Vegan,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,48,Female,West Virginia,Associate’s degree,Strongly Conservative,White,Do not actively practice a religion
1130,10402,Omnivore,,,,,,,,,,,,Male,West Virginia,"Some education after high school, no degree",Moderately Conservative,White,Other religion (including two or more)
1131,10429,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,16,Female,California,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
1132,10435,Omnivore,,,,,,,,,,,,Female,California,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
1133,10439,Omnivore,,,,,,,,,,,,Male,California,Associate’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
1134,10443,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1135,10474,Omnivore,,,,,,,,,,,,Male,Indiana,High school diploma (or equivalent),Strongly Liberal,White,Do not actively practice a religion
1136,10476,Omnivore,,,,,,,,,,,,Male,Minnesota,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1137,10483,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Strongly Liberal,Other race/ethnicity (including two or more),"Christian (Catholic, Protestant, etc.)"
1138,10488,Omnivore,,,,,,,,,,,,Female,North Carolina,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1139,10490,Omnivore,,,,,,,,,,,,Female,West Virginia,Associate’s degree,Moderately Liberal,White,Do not actively practice a religion
1140,10492,Omnivore,,,,,,,,,,,,Female,Arizona,"Some education after high school, no degree",Moderately Liberal,White,Do not actively practice a religion
1141,10495,Omnivore,,,,,,,,,,,,Female,Texas,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
1143,10508,Omnivore,,,,,,,,,,,,Female,New Mexico,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1144,10509,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
1145,10516,Omnivore,,,,,,,,,,,,Male,Michigan,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
1146,10535,Omnivore,,,,,,,,,,,,Female,Arizona,Bachelor’s degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Buddhist
1147,10560,Omnivore,,,,,,,,,,,,Female,Missouri,"Some education after high school, no degree",Strongly Conservative,White,Do not actively practice a religion
1148,10563,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Moderately Conservative,White,Do not actively practice a religion
1149,10572,Omnivore,,,,,,,,,,,,Male,California,Graduate or professional degree,Moderately Conservative,"Christian (Catholic, Protestant, etc.)",Hindu
1150,10574,Omnivore,,,,,,,,,,,,Female,Washington,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
1151,10580,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
1152,10582,Omnivore,,,,,,,,,,,,Female,Texas,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
1153,10599,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
1154,10601,Omnivore,,,,,,,,,,,,Female,New Hampshire,"Some education after high school, no degree",Neutral/Centrist,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
1155,10649,Vegetarian,Mild,Not at All,Not at All,Very Strong,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,36,Female,North Dakota,"Some education after high school, no degree",Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
1157,10679,Vegan,Very Strong,Somewhat,Not at All,Not at All,Not at All,Somewhat,Not at All,Somewhat,Somewhat,Somewhat,65,Female,Connecticut,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
1158,10680,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
1160,10689,Omnivore,,,,,,,,,,,,Female,Michigan,Graduate or professional degree,Moderately Liberal,White,Jewish
1161,10690,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
1162,10693,Omnivore,,,,,,,,,,,,Female,Massachusetts,"Some education after high school, no degree",Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
1163,10711,Omnivore,,,,,,,,,,,,Female,Arkansas,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
1164,10716,Omnivore,,,,,,,,,,,,Male,North Carolina,Graduate or professional degree,Moderately Conservative,"Christian (Catholic, Protestant, etc.)",Buddhist
1165,10719,Omnivore,,,,,,,,,,,,Female,California,"Some education after high school, no degree",Neutral/Centrist,African American or Black,Do not actively practice a religion
1166,10726,Omnivore,,,,,,,,,,,,Female,Nevada,Graduate or professional degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Hindu
1167,10749,Omnivore,,,,,,,,,,,,Female,Oklahoma,High school diploma (or equivalent),Strongly Liberal,White,Do not actively practice a religion
1168,10752,Omnivore,,,,,,,,,,,,Male,Pennsylvania,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1170,10772,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,Other race/ethnicity (including two or more),"Christian (Catholic, Protestant, etc.)"
1171,10780,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelor’s degree,Neutral/Centrist,White,Jewish
1172,10782,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
1173,10783,Omnivore,,,,,,,,,,,,Female,Arizona,Bachelor’s degree,Moderately Liberal,Other race/ethnicity (including two or more),Other religion (including two or more)
1174,10787,Omnivore,,,,,,,,,,,,Female,Florida,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
1175,10801,Omnivore,,,,,,,,,,,,Female,Wyoming,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
1176,10802,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Associate’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1177,10809,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
1178,10817,Omnivore,,,,,,,,,,,,Female,California,Associate’s degree,Moderately Liberal,White,Do not actively practice a religion
1180,10829,Omnivore,,,,,,,,,,,,Female,Oklahoma,"Some education after high school, no degree",Moderately Liberal,White,Other religion (including two or more)
1181,10831,Omnivore,,,,,,,,,,,,Male,Hawaii,Associate’s degree,Moderately Liberal,White,Do not actively practice a religion
1182,10837,Omnivore,,,,,,,,,,,,Female,Wyoming,Bachelor’s degree,Strongly Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
1183,10851,Omnivore,,,,,,,,,,,,Female,Arkansas,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1184,10854,Vegan,Very Strong,Somewhat,Not at All,Not at All,Not at All,Somewhat,Not at All,Somewhat,Somewhat,Somewhat,45,Female,South Carolina,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
1185,10855,Omnivore,,,,,,,,,,,,Female,Oklahoma,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1186,10858,Vegetarian,Mild,Not at All,Not at All,Very Strong,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,16,Female,Indiana,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
1187,10859,Omnivore,,,,,,,,,,,,Female,Tennessee,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1188,10865,Vegetarian,Somewhat,Somewhat,Mild,Somewhat,Not at All,Not at All,Somewhat,Somewhat,Not at All,Somewhat,51,Female,Washington,Associate’s degree,Moderately Conservative,White,Do not actively practice a religion
1189,10874,Omnivore,,,,,,,,,,,,Female,Colorado,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
1190,10877,Omnivore,,,,,,,,,,,,Female,Hawaii,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
1191,10884,Omnivore,,,,,,,,,,,,Female,New Hampshire,Associate’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1192,10886,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
1193,10887,Omnivore,,,,,,,,,,,,Male,Idaho,Bachelor’s degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)","Christian (Catholic, Protestant, etc.)"
1194,10905,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,Middle Eastern,Muslim
1195,10907,Omnivore,,,,,,,,,,,,Female,Indiana,"Some education after high school, no degree",Strongly Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
1197,10928,Omnivore,,,,,,,,,,,,Female,West Virginia,Associate’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1198,10937,Omnivore,,,,,,,,,,,,Female,Louisiana,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1199,10946,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,16,Female,California,Graduate or professional degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
1200,10957,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Associate’s degree,Neutral/Centrist,White,Do not actively practice a religion
1201,10959,Omnivore,,,,,,,,,,,,Male,California,Graduate or professional degree,Moderately Liberal,Indian,Hindu
1202,10962,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1203,10974,Omnivore,,,,,,,,,,,,Female,Maine,"Some education after high school, no degree",Neutral/Centrist,White,Other religion (including two or more)
1204,10982,Omnivore,,,,,,,,,,,,Male,Delaware,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1205,10984,Omnivore,,,,,,,,,,,,Male,Arizona,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1206,10988,Omnivore,,,,,,,,,,,,Female,West Virginia,"Some education after high school, no degree",Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
1207,11001,Omnivore,,,,,,,,,,,,Male,California,"Some education after high school, no degree",Moderately Liberal,White,Do not actively practice a religion
1208,11002,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,21,Female,New Mexico,Graduate or professional degree,Strongly Liberal,White,Jewish
1209,11007,Omnivore,,,,,,,,,,,,Female,Michigan,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1210,11023,Omnivore,,,,,,,,,,,,Female,Minnesota,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1211,11028,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
1212,11029,Omnivore,,,,,,,,,,,,Female,Georgia,High school diploma (or equivalent),Moderately Liberal,White,Do not actively practice a religion
1213,11038,Omnivore,,,,,,,,,,,,Female,California,"Some education after high school, no degree",Moderately Liberal,White,Do not actively practice a religion
1214,11045,Omnivore,,,,,,,,,,,,Female,Michigan,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1215,11054,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
1216,11056,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Moderately Liberal,African American or Black,Do not actively practice a religion
1217,11069,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1218,11074,Omnivore,,,,,,,,,,,,Male,Virginia,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
1219,11077,Omnivore,,,,,,,,,,,,Female,Georgia,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1220,11094,Omnivore,,,,,,,,,,,,Female,Alabama,High school diploma (or equivalent),Strongly Liberal,African American or Black,Other religion (including two or more)
1221,11096,Omnivore,,,,,,,,,,,,Female,Montana,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
1222,11099,Omnivore,,,,,,,,,,,,Female,Colorado,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
1223,11101,Omnivore,,,,,,,,,,,,Male,Idaho,"Some education after high school, no degree",Strongly Conservative,White,Do not actively practice a religion
1225,11127,Vegetarian,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,18,Female,North Carolina,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
1227,11136,Vegan,Very Strong,Strong,Very Strong,Very Strong,Not at All,Not at All,Very Strong,Very Strong,Mild,Very Strong,19,Female,Connecticut,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
1228,11139,Omnivore,,,,,,,,,,,,Female,Washington,Bachelor’s degree,Neutral/Centrist,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
1229,11142,Omnivore,,,,,,,,,,,,Male,Indiana,Graduate or professional degree,Moderately Liberal,White,Jewish
1230,11156,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,17,Male,New Mexico,Graduate or professional degree,Moderately Liberal,White,Other religion (including two or more)
1232,11185,Omnivore,,,,,,,,,,,,Female,California,"Some education after high school, no degree",Moderately Liberal,"Christian (Catholic, Protestant, etc.)",Buddhist
1233,11214,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,27,Female,Colorado,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1234,11224,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,13,Female,Wyoming,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
1235,11234,Vegetarian,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,Not at All,Mild,Not at All,Not at All,33,Female,Oklahoma,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
1236,11236,Omnivore,,,,,,,,,,,,Female,New Mexico,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
1237,11238,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,30,Female,California,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
1238,11251,Omnivore,,,,,,,,,,,,Female,Oklahoma,Graduate or professional degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)","Christian (Catholic, Protestant, etc.)"
1239,11257,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,14,Female,Puerto Rico,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
1240,11258,Omnivore,,,,,,,,,,,,Male,Arizona,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
1241,11264,Vegetarian,Mild,Not at All,Not at All,Very Strong,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,36,Female,Pennsylvania,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
1242,11274,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,16,Female,Oklahoma,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
1243,11270,Omnivore,,,,,,,,,,,,Female,Wisconsin,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1244,11272,Omnivore,,,,,,,,,,,,Female,New Mexico,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
1245,11279,Omnivore,,,,,,,,,,,,Female,North Dakota,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
1246,11285,Omnivore,,,,,,,,,,,,Female,Michigan,Graduate or professional degree,Strongly Conservative,White,Do not actively practice a religion
1247,11286,Omnivore,,,,,,,,,,,,Female,Alabama,High school diploma (or equivalent),Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
1248,11290,Omnivore,,,,,,,,,,,,Female,Hawaii,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
1249,11299,Omnivore,,,,,,,,,,,,Female,Minnesota,"Less than 12th grade, no diploma",Neutral/Centrist,White,Other religion (including two or more)
1250,11309,Vegan,Very Strong,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,38,Female,North Carolina,"Some education after high school, no degree",Neutral/Centrist,White,Jewish
1251,11314,Omnivore,,,,,,,,,,,,Male,West Virginia,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1252,11317,Omnivore,,,,,,,,,,,,Female,Michigan,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
1253,11320,Omnivore,,,,,,,,,,,,Male,Arizona,Bachelor’s degree,Moderately Liberal,"Christian (Catholic, Protestant, etc.)","Christian (Catholic, Protestant, etc.)"
1254,11333,Omnivore,,,,,,,,,,,,Female,Arizona,Graduate or professional degree,Strongly Liberal,White,Jewish
1255,11334,Omnivore,,,,,,,,,,,,Female,Indiana,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1256,11345,Omnivore,,,,,,,,,,,,Female,Georgia,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
1257,11349,Omnivore,,,,,,,,,,,,Female,North Carolina,Graduate or professional degree,Neutral/Centrist,White,Jewish
1258,11352,Omnivore,,,,,,,,,,,,Female,Georgia,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
